,feature,feature_importances
35,Category__cds_dvds_musicais,0.0
28,Category__bebidas,0.0
33,Category__casa_conforto_2,0.0
70,Category__moveis_colchao_e_estofado,0.0
36,Category__cine_foto,0.0
40,Category__construcao_ferramentas_ferramentas,0.0
42,Category__construcao_ferramentas_jardim,0.0
43,Category__construcao_ferramentas_seguranca,0.0
87,Category__telefonia_fixa,0.0
45,Category__dvds_blu_ray,0.0
24,Category__artigos_de_natal,0.0
52,Category__fashion_calcados,0.0
54,Category__fashion_roupa_feminina,0.0
55,Category__fashion_roupa_infanto_juvenil,0.0
57,Category__fashion_underwear_e_moda_praia,0.0
59,Category__flores,0.0
60,Category__fraldas_higiene,0.0
61,Category__industria_comercio_e_negocios,0.0
64,Category__la_cuisine,0.0
65,Category__livros_importados,0.0
67,Category__livros_tecnicos,0.0
53,Category__fashion_esporte,0.0
23,Category__artigos_de_festas,0.0
71,Category__moveis_cozinha_area_de_servico_jantar_e_jardim,0.0
21,Category__artes,0.0
85,Category__tablets_impressao_imagem,0.0
84,Category__sinalizacao_e_seguranca,0.0
83,Category__seguros_e_servicos,0.0
81,Category__portateis_cozinha_e_preparadores_de_alimentos,0.0
78,Category__pc_gamer,0.0
76,Category__musica,0.0
11,type_not_defined,0.0
22,Category__artes_e_artesanato,0.0
74,Category__moveis_quarto,0.0
17,Category__portateis_casa_forno_e_cafe,0.0
20,Category__alimentos_bebidas,4.315170724508931e-05
37,Category__climatizacao,4.574864400803589e-05
47,Category__eletrodomesticos_2,4.902222667747114e-05
19,Category__alimentos,0.00011325855553261183
41,Category__construcao_ferramentas_iluminacao,0.0002900526154812814
46,Category__eletrodomesticos,0.0003451280744989028
75,Category__moveis_sala,0.00034990291340921553
25,Category__audio,0.0003585369533196724
32,Category__casa_conforto,0.00038512857913928274
69,Category__market_place,0.0006187674174739342
63,Category__instrumentos_musicais,0.0006730911970993538
18,Category__agro_industria_e_comercio,0.0007758939358442818
10,type_debit_card,0.0009050297147711669
66,Category__livros_interesse_geral,0.0010393004140921655
77,Category__papelaria,0.0013275687733581608
79,Category__pcs,0.0014749428566304152
73,Category__moveis_escritorio,0.0018355633302626763
56,Category__fashion_roupa_masculina,0.0018682179408225548
38,Category__consoles_games,0.0019485993548859722
49,Category__eletroportateis,0.002098720478567722
39,Category__construcao_ferramentas_construcao,0.0022540378392497057
26,Category__automotivo,0.002582656928932294
34,Category__casa_construcao,0.00333314644354649
50,Category__esporte_lazer,0.0035647866928174574
30,Category__brinquedos,0.003727326867081114
27,Category__bebes,0.00407330331484326
12,type_voucher,0.0042054887921783
68,Category__malas_acessorios,0.004335510260010738
29,Category__beleza_saude,0.004556760973602766
80,Category__perfumaria,0.004594384420207995
16,Category__pet_shop,0.005257241833872735
13,payment_sequential,0.005661334201878955
88,Category__utilidades_domesticas,0.006280924423240267
72,Category__moveis_decoracao,0.007229087940230422
31,Category__cama_mesa_banho,0.007392004338352058
48,Category__eletronicos,0.008047491831505419
51,Category__fashion_bolsas_e_acessorios,0.010111881405696212
44,Category__cool_stuff,0.010132336157006752
82,Category__relogios_presentes,0.010411734397745096
58,Category__ferramentas_jardim,0.012883889744915746
9,type_credit_card,0.013783469428789014
86,Category__telefonia,0.01591126506735615
62,Category__informatica_acessorios,0.0177019818656907
14,payment_installments,0.030701516197688482
1,product_photos_qty,0.031561669726676865
15,payment_value,0.07609577578429351
5,delivery_delta,0.07830106251019413
0,price,0.07983745167609718
3,delivery_est_delta,0.08005424217585048
7,product_name_lenght,0.08194575282140026
6,freight_value,0.08470329201834784
2,vol,0.08706943411347288
4,est_delta,0.08955455274281483
8,product_description_lenght,0.09559757938129393
